"","date","NDVI_hectareID_27","NDVI_sd_hectareID_27","NDVI_hectareID_26","NDVI_sd_hectareID_26","NDVI_hectareID_17","NDVI_sd_hectareID_17","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_09","NDVI_sd_hectareID_09","NDVI_hectareID_11","NDVI_sd_hectareID_11","NDVI_hectareID_31","NDVI_sd_hectareID_31","NDVI_hectareID_07","NDVI_sd_hectareID_07","NDVI_hectareID_08","NDVI_sd_hectareID_08","NDVI_hectareID_12","NDVI_sd_hectareID_12","NDVI_hectareID_24","NDVI_sd_hectareID_24","NDVI_hectareID_25","NDVI_sd_hectareID_25","NDVI_hectareID_28","NDVI_sd_hectareID_28","NDVI_hectareID_18","NDVI_sd_hectareID_18","NDVI_hectareID_03","NDVI_sd_hectareID_03","NDVI_hectareID_30","NDVI_sd_hectareID_30","NDVI_hectareID_14","NDVI_sd_hectareID_14","NDVI_hectareID_04","NDVI_sd_hectareID_04","NDVI_hectareID_06","NDVI_sd_hectareID_06","NDVI_hectareID_20","NDVI_sd_hectareID_20","NDVI_hectareID_23","NDVI_sd_hectareID_23","NDVI_hectareID_05","NDVI_sd_hectareID_05","NDVI_hectareID_16","NDVI_sd_hectareID_16","NDVI_hectareID_01","NDVI_sd_hectareID_01","NDVI_hectareID_21","NDVI_sd_hectareID_21","NDVI_hectareID_02","NDVI_sd_hectareID_02","NDVI_hectareID_15","NDVI_sd_hectareID_15","NDVI_hectareID_13","NDVI_sd_hectareID_13","NDVI_hectareID_22","NDVI_sd_hectareID_22","NDVI_hectareID_19","NDVI_sd_hectareID_19","NDVI_hectareID_10","NDVI_sd_hectareID_10","NDVI_hectareID_29","NDVI_sd_hectareID_29"
"1",2018-12-17,NA,NA,NA,NA,NA,NA,0.875035,0.02325,NA,NA,NA,NA,0.880853,0.01698,NA,NA,0.875751,0.014661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844759,0.085622,0.886148,0.024493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863806,0.019765,0.879137,0.015588,NA,NA,NA,NA,0.859171,0.016688,NA,NA,0.879611,0.012527,NA,NA,NA,NA,0.868114,0.018197
"2",2018-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841523,0.013688
"3",2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,0.77805,0.042509,NA,NA,0.803884,0.024394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77247,0.048174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807005,0.013467,NA,NA,NA,NA,NA,NA
"4",2019-01-06,NA,NA,NA,NA,NA,NA,NA,NA,0.637794,0.063734,0.770543,0.088099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711097,0.091106,NA,NA,NA,NA,NA,NA,0.832109,0.017875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-01-21,0.86168,0.019425,NA,NA,0.872312,0.015613,NA,NA,NA,NA,NA,NA,0.88835,0.015663,NA,NA,NA,NA,NA,NA,0.870484,0.019977,0.898289,0.012008,NA,NA,NA,NA,NA,NA,0.894172,0.017846,NA,NA,NA,NA,NA,NA,0.856071,0.020698,NA,NA,NA,NA,0.874626,0.01917,NA,NA,0.864785,0.013449,NA,NA,0.858145,0.00869,NA,NA,NA,NA,NA,NA,NA,NA,0.706058,0.222059
"6",2019-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88113,0.014214,0.879315,0.012343,NA,NA,0.887771,0.009314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.872848,0.019204
"7",2019-01-31,NA,NA,NA,NA,0.877077,0.014541,0.890671,0.018305,NA,NA,NA,NA,0.896326,0.014978,0.89202,0.028601,0.881403,0.011065,0.869854,0.011924,0.863067,0.031251,NA,NA,0.886972,0.015455,NA,NA,0.88274,0.014163,0.891828,0.017198,NA,NA,NA,NA,NA,NA,0.865462,0.01949,NA,NA,NA,NA,NA,NA,NA,NA,0.872663,0.012477,NA,NA,NA,NA,NA,NA,0.890978,0.014301,NA,NA,NA,NA,0.881103,0.019086
"8",2019-02-05,NA,NA,NA,NA,NA,NA,0.866536,0.018852,0.886241,0.010675,NA,NA,NA,NA,NA,NA,0.848379,0.012949,NA,NA,0.758506,0.069463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87402,0.017376,NA,NA,0.851927,0.020571,0.87444,0.018342,NA,NA,0.868394,0.015557,NA,NA,0.887603,0.079824,NA,NA,NA,NA,0.788539,0.04863,NA,NA,NA,NA,NA,NA
"9",2019-02-10,NA,NA,NA,NA,NA,NA,NA,NA,0.843813,0.02148,0.659664,0.036525,NA,NA,NA,NA,0.842265,0.011539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83258,0.023249,NA,NA,NA,NA,0.831787,0.018246,0.566904,0.209281,0.763282,0.018555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2019-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843925,0.023994,NA,NA,NA,NA,NA,NA,0.834636,0.010879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805391,0.018166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2019-02-20,0.846554,0.017756,0.852758,0.031165,0.865487,0.014642,0.875282,0.020143,0.838268,0.022023,0.842556,0.015668,0.877273,0.016023,0.851194,0.020575,NA,NA,0.849155,0.011499,0.863433,0.019414,0.885023,0.009608,0.871774,0.016515,0.847909,0.014166,0.852937,0.013227,0.87631,0.019142,0.852662,0.018015,0.865244,0.009958,0.837336,0.017683,0.842962,0.017328,0.854969,0.016693,0.837445,0.019185,0.867554,0.012168,0.824088,0.014385,0.860283,0.012109,0.849006,0.07028,0.850978,0.015047,0.861088,0.01673,0.877222,0.014615,0.871225,0.011723,0.832133,0.036922,0.860777,0.020001
"12",2019-02-25,0.834691,0.017725,0.852158,0.030712,0.877305,0.016009,0.878569,0.019555,0.884356,0.023052,0.868565,0.018136,NA,NA,0.891029,0.022879,0.882216,0.012053,0.87134,0.01739,0.868835,0.021427,0.880025,0.009518,0.85033,0.01547,0.864029,0.015203,0.883646,0.01468,0.843126,0.024637,0.867692,0.022181,0.891755,0.010477,0.884126,0.018741,0.857765,0.018853,0.867148,0.016372,0.887531,0.021294,0.885328,0.015314,0.877008,0.015724,0.866748,0.011535,0.885823,0.079679,0.865956,0.017267,0.871639,0.018058,0.884156,0.017416,0.885484,0.011856,0.862606,0.041288,0.835161,0.024794
"13",2019-03-02,0.807928,0.016185,0.808426,0.03292,NA,NA,0.816199,0.017465,NA,NA,NA,NA,0.875206,0.014602,NA,NA,NA,NA,0.783506,0.011226,NA,NA,0.626607,0.01995,NA,NA,0.773129,0.014962,NA,NA,0.87188,0.026325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654628,0.096599,NA,NA,NA,NA,NA,NA
"14",2019-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878403,0.013438,NA,NA,0.890404,0.01805,NA,NA,0.895303,0.009958,NA,NA,NA,NA,NA,NA,0.882934,0.032933,NA,NA,NA,NA,0.85384,0.010686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-03-17,0.834311,0.016055,NA,NA,NA,NA,NA,NA,NA,NA,0.802077,0.028516,NA,NA,NA,NA,NA,NA,0.839571,0.018543,NA,NA,NA,NA,0.850339,0.020551,NA,NA,NA,NA,NA,NA,0.791119,0.013317,0.884881,0.01009,0.863978,0.054525,NA,NA,0.840248,0.018513,0.849178,0.026474,NA,NA,NA,NA,NA,NA,NA,NA,0.665882,0.194694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2019-03-27,NA,NA,NA,NA,NA,NA,0.857831,0.017958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.847897,0.016494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727626,0.084646,NA,NA,NA,NA,NA,NA
"17",2019-04-01,0.837739,0.018975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863819,0.06558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2019-04-06,NA,NA,NA,NA,0.869748,0.013665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884849,0.010675,NA,NA,NA,NA,0.868387,0.069786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.864334,0.019992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836292,0.02134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-04-26,0.835616,0.00946,0.496183,0.165146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859762,0.019482,NA,NA,NA,NA,NA,NA,0.856679,0.013455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.760633,0.025304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
